chicken salad,350,high protein healthy meal
chicken salad,350,high protein healthy meal
chicken and rice,0,"Searched for healthy chicken and rice alternatives in Cairo - found options like Cairo Kitchen with grilled chicken and brown rice, Lyfe Maadi with healthy bowls, and other health-conscious eateries"
chicken and rice,450,Traditional chicken and rice meal - can be made healthier with brown rice and grilled chicken
chicken salad,350,high protein healthy meal
chicken salad,350,high protein healthy meal
chicken salad,350,high protein healthy meal
meat and spaghetti,850-1200,"Traditional meat and spaghetti meal with ground beef or chicken served with pasta, typically high in protein and refined carbohydrates"
meat and spaghetti,~700,"A typical serving of meat and spaghetti can be high in calories and saturated fats, depending on the type of meat and sauce used."
"healthy breakfast with eggs, fruits, and whole grain bread",~400-500,"This meal is composed of eggs, fruits, vegetables, and whole grain bread, providing a balanced intake of protein, vitamins, and fiber. It's a great way to start the day with sustained energy."
chicken salad,350,high protein healthy meal
